time,frequency,confidence
6.060,708.075,0.405599
6.070,699.192,0.145599
6.080,117.302,0.161823
6.090,341.586,0.169375
6.100,117.653,0.091938
6.110,693.127,0.332452
6.120,692.365,0.333149
6.130,693.745,0.240534
6.140,41.160,0.506849
6.150,41.012,0.421368
6.160,43.073,0.461239
6.170,43.642,0.274596
6.180,779.266,0.326425
6.190,788.706,0.213638
6.200,791.835,0.240812
6.210,792.360,0.544495
6.220,786.746,0.735716
6.230,787.297,0.607262
6.240,784.872,0.459150
6.250,784.476,0.703241
6.260,784.997,0.849249
6.270,783.835,0.903878
6.280,784.168,0.923305
6.290,784.773,0.930095
6.300,785.572,0.903147
6.310,786.336,0.817164
6.320,789.660,0.490349
6.330,790.353,0.136604
6.340,42.136,0.271983
6.350,43.258,0.306384
6.360,780.419,0.441730
6.370,783.788,0.802919
6.380,783.839,0.840036
6.390,783.822,0.832847
6.400,785.306,0.850423
6.410,786.598,0.901862
6.420,788.843,0.782826
6.430,791.572,0.508123
6.440,815.244,0.155068
6.450,41.369,0.275202
6.460,43.166,0.656169
6.470,43.034,0.527430
6.480,779.452,0.632330
6.490,779.998,0.598632
6.500,780.959,0.455455
6.510,781.373,0.235045
6.520,39.942,0.167368
6.530,40.348,0.252397
6.540,41.163,0.145952
6.550,777.612,0.127955
6.560,43.505,0.215282
6.570,42.964,0.435341
6.580,43.237,0.401552
6.590,43.487,0.179014
6.600,775.862,0.416952
6.610,702.979,0.654035
6.620,702.244,0.862001
6.630,701.354,0.870681
6.640,703.276,0.843106
6.650,704.170,0.649013
6.660,706.231,0.485689
6.670,704.964,0.360597
6.680,699.082,0.213471
6.690,695.806,0.444895
6.700,700.497,0.438843
6.710,700.791,0.701485
6.720,700.728,0.702377
6.730,703.608,0.640242
6.740,704.728,0.552918
6.750,707.586,0.201963
6.760,723.309,0.197645
6.770,42.627,0.324311
6.780,42.816,0.235614
6.790,691.551,0.439601
6.800,693.746,0.465670
6.810,697.355,0.580228
6.820,699.247,0.281995
6.830,701.206,0.279810
6.840,43.086,0.362854
6.850,42.962,0.283094
6.860,42.876,0.390011
6.870,42.907,0.331629
6.880,43.149,0.699131
6.890,42.847,0.680733
6.900,42.479,0.502114
6.910,43.032,0.279843
6.920,690.881,0.206880
6.930,692.719,0.231926
6.940,41.574,0.383913
6.950,41.452,0.541759
6.960,42.791,0.386510
6.970,43.721,0.626101
6.980,43.387,0.395139
6.990,623.973,0.097389
7.000,40.799,0.171153
7.010,41.331,0.177492
7.020,43.593,0.425450
7.030,43.805,0.531181
7.040,43.477,0.649310
7.050,43.068,0.688685
7.060,42.883,0.429748
7.070,42.619,0.296859
7.080,310.045,0.234892
7.090,43.917,0.343471
7.100,44.212,0.355947
7.110,43.785,0.190104
7.120,41.793,0.261605
7.130,41.785,0.237101
7.140,43.208,0.295368
7.150,43.538,0.575931
7.160,43.335,0.695590
7.170,43.248,0.679369
7.180,42.985,0.464946
7.190,311.668,0.392489
7.200,43.344,0.401470
7.210,43.581,0.665491
7.220,43.116,0.508456
7.230,41.778,0.285584
7.240,41.842,0.253756
7.250,43.652,0.520507
7.260,43.439,0.561292
7.270,43.124,0.637267
7.280,43.206,0.583259
7.290,42.670,0.409861
7.300,42.861,0.421571
7.310,43.263,0.439872
7.320,43.360,0.786641
7.330,43.145,0.776381
7.340,42.402,0.672182
7.350,42.639,0.561969
7.360,43.048,0.740841
7.370,43.263,0.837627
7.380,43.472,0.769260
7.390,43.648,0.800559
7.400,43.370,0.820339
7.410,42.970,0.767021
7.420,42.959,0.770225
7.430,43.229,0.808207
7.440,43.560,0.882939
7.450,42.877,0.768192
7.460,42.206,0.668948
7.470,42.607,0.707547
7.480,43.190,0.817675
7.490,43.396,0.874790
7.500,43.511,0.782039
7.510,43.645,0.786617
7.520,43.366,0.742230
7.530,43.180,0.621965
7.540,43.305,0.630844
7.550,43.211,0.615933
7.560,43.214,0.659919
7.570,42.649,0.638505
7.580,42.397,0.647464
7.590,43.107,0.684777
7.600,43.744,0.814760
7.610,43.799,0.578879
7.620,309.987,0.415442
7.630,43.294,0.577470
7.640,42.704,0.544721
7.650,42.252,0.550988
7.660,42.757,0.665854
7.670,42.903,0.763470
7.680,42.977,0.721638
7.690,43.020,0.780776
7.700,42.873,0.680882
7.710,43.049,0.764491
7.720,43.153,0.602669
7.730,43.618,0.785315
7.740,43.782,0.846559
7.750,43.129,0.740665
7.760,42.331,0.646349
7.770,42.482,0.649967
7.780,43.258,0.836823
7.790,43.427,0.862794
7.800,43.407,0.892106
7.810,43.372,0.885385
7.820,43.431,0.880388
7.830,43.399,0.905807
7.840,43.236,0.892896
7.850,43.013,0.841612
7.860,42.771,0.807439
7.870,42.847,0.801422
7.880,42.949,0.775196
7.890,43.527,0.815564
7.900,43.437,0.856029
7.910,43.161,0.853390
7.920,42.863,0.744922
7.930,42.699,0.602308
7.940,42.824,0.546982
7.950,43.014,0.532535
7.960,43.204,0.523648
7.970,43.017,0.547900
7.980,42.909,0.710160
7.990,42.803,0.722274
8.000,43.161,0.686643
8.010,43.115,0.838998
8.020,43.225,0.801600
8.030,43.378,0.858909
8.040,43.396,0.837386
8.050,43.273,0.797053
8.060,42.553,0.613618
8.070,42.533,0.591626
8.080,42.837,0.519251
8.090,43.331,0.724342
8.100,43.276,0.839427
8.110,43.116,0.872161
8.120,43.092,0.868562
8.130,43.052,0.806330
8.140,42.987,0.833584
8.150,43.100,0.869331
8.160,43.437,0.878570
8.170,43.413,0.866283
8.180,43.161,0.858857
8.190,42.961,0.794931
8.200,42.959,0.771841
8.210,43.130,0.817514
8.220,43.251,0.839526
8.230,43.197,0.813598
8.240,43.025,0.781791
8.250,43.119,0.810172
8.260,43.165,0.801045
8.270,42.529,0.624161
8.280,42.621,0.684008
8.290,42.911,0.471560
8.300,43.019,0.556500
8.310,43.267,0.681736
8.320,43.510,0.696849
8.330,43.575,0.845042
8.340,43.634,0.780355
8.350,43.141,0.827600
8.360,42.941,0.761482
8.370,42.927,0.718791
8.380,43.071,0.754123
8.390,43.050,0.768185
8.400,43.153,0.741238
8.410,42.823,0.540003
8.420,42.449,0.694212
8.430,43.105,0.774785
8.440,43.410,0.834611
8.450,43.439,0.872499
8.460,43.221,0.832979
8.470,43.151,0.828103
8.480,43.262,0.813961
8.490,43.272,0.859075
8.500,43.389,0.839397
8.510,43.574,0.865599
8.520,43.367,0.883580
8.530,43.284,0.836822
8.540,42.959,0.772248
8.550,42.866,0.727413
8.560,43.070,0.770612
8.570,43.388,0.810788
8.580,43.638,0.882906
8.590,43.246,0.833637
8.600,42.842,0.577997
8.610,43.206,0.714866
8.620,43.289,0.666280
8.630,43.247,0.788719
8.640,43.248,0.706669
8.650,43.231,0.678523
8.660,43.217,0.768579
8.670,43.319,0.779309
8.680,43.347,0.872346
8.690,43.281,0.869379
8.700,43.156,0.852269
8.710,42.925,0.731454
8.720,42.839,0.691948
8.730,43.224,0.713691
8.740,43.840,0.777831
8.750,43.226,0.547444
8.760,42.657,0.483268
8.770,42.809,0.621924
8.780,43.193,0.755480
8.790,43.340,0.881343
8.800,43.296,0.882915
8.810,43.468,0.875298
8.820,43.167,0.844865
8.830,43.158,0.800659
8.840,43.180,0.805216
8.850,43.328,0.827610
8.860,43.255,0.887921
8.870,43.206,0.879048
8.880,43.182,0.844397
8.890,43.246,0.844710
8.900,43.412,0.858053
8.910,43.496,0.867756
8.920,43.280,0.795464
8.930,43.132,0.832381
8.940,43.082,0.604232
8.950,42.844,0.682080
8.960,43.054,0.703679
8.970,43.450,0.679630
8.980,43.597,0.749872
8.990,43.113,0.443536
9.000,42.381,0.545418
9.010,43.070,0.431110
9.020,43.315,0.659922
9.030,43.498,0.851476
9.040,43.494,0.887011
9.050,43.196,0.869568
9.060,42.582,0.777711
9.070,42.161,0.803385
9.080,42.350,0.589300
9.090,42.912,0.497963
9.100,43.055,0.669656
9.110,43.206,0.574447
9.120,43.516,0.785218
9.130,43.604,0.757586
9.140,43.285,0.821416
9.150,42.919,0.702397
9.160,42.585,0.687291
9.170,43.162,0.875666
9.180,43.075,0.847544
9.190,43.765,0.842020
9.200,43.864,0.824431
9.210,43.108,0.726733
9.220,42.319,0.480666
9.230,42.288,0.325454
9.240,43.316,0.730514
9.250,43.385,0.854280
9.260,43.417,0.875460
9.270,43.409,0.866921
9.280,43.326,0.864356
9.290,42.503,0.692354
9.300,42.701,0.647441
9.310,43.440,0.861766
9.320,43.626,0.880764
9.330,43.438,0.872918
9.340,43.294,0.894866
9.350,43.311,0.898129
9.360,43.440,0.887884
9.370,43.440,0.926271
9.380,43.176,0.893771
9.390,43.077,0.851637
9.400,42.640,0.827926
9.410,42.837,0.826225
9.420,43.105,0.827956
9.430,43.547,0.821265
9.440,43.374,0.907906
9.450,42.798,0.807532
9.460,42.688,0.771154
9.470,43.042,0.835359
9.480,43.328,0.882821
9.490,43.300,0.900548
9.500,43.275,0.854060
9.510,43.326,0.891167
9.520,43.002,0.845897
9.530,43.043,0.790038
9.540,43.159,0.810767
9.550,43.526,0.875118
9.560,43.462,0.892125
9.570,43.165,0.850868
9.580,43.197,0.825602
9.590,43.581,0.841400
9.600,43.465,0.856148
9.610,43.028,0.808143
9.620,42.897,0.663021
9.630,43.371,0.756471
9.640,43.443,0.805450
9.650,43.092,0.728947
9.660,42.901,0.713620
9.670,42.986,0.781149
9.680,43.321,0.814780
9.690,43.345,0.603637
9.700,43.868,0.628552
9.710,43.666,0.350582
9.720,43.266,0.312158
9.730,42.749,0.244342
9.740,42.991,0.234674
9.750,43.196,0.382616
9.760,43.164,0.284512
9.770,43.617,0.519885
9.780,43.527,0.618514
9.790,43.208,0.638350
9.800,43.014,0.405544
9.810,42.791,0.622302
9.820,43.172,0.799894
9.830,42.947,0.718791
9.840,43.186,0.769993
9.850,43.349,0.806133
9.860,43.231,0.816754
9.870,43.000,0.809636
9.880,43.023,0.712550
9.890,43.080,0.731556
9.900,42.929,0.530832
9.910,43.203,0.717218
9.920,43.268,0.775705
9.930,43.195,0.570616
9.940,42.885,0.443508
9.950,307.896,0.440519
9.960,308.851,0.450671
9.970,43.410,0.253733
9.980,43.312,0.460593
9.990,43.090,0.624229
10.000,43.158,0.508308
10.010,42.995,0.380582
10.020,42.884,0.418632
10.030,43.156,0.427968
10.040,43.525,0.717634
10.050,43.538,0.783499
10.060,43.129,0.773145
10.070,42.881,0.580613
10.080,43.101,0.660324
10.090,43.581,0.689463
10.100,43.235,0.705680
10.110,43.060,0.694750
10.120,42.620,0.677171
10.130,42.867,0.668822
10.140,43.355,0.814900
10.150,43.585,0.861306
10.160,43.494,0.846339
10.170,42.961,0.587371
10.180,43.176,0.556348
10.190,43.274,0.620551
10.200,43.436,0.756079
10.210,43.219,0.799827
10.220,43.012,0.747959
10.230,43.124,0.677836
10.240,43.478,0.671226
10.250,43.442,0.277229
10.260,42.478,0.178675
10.270,42.118,0.257520
10.280,43.357,0.711455
10.290,43.326,0.609088
10.300,43.134,0.647759
10.310,311.386,0.429994
10.320,310.163,0.398052
10.330,42.983,0.338149
10.340,42.759,0.553218
10.350,42.941,0.673920
10.360,42.768,0.717753
10.370,42.697,0.834017
10.380,42.803,0.365067
10.390,43.017,0.479139
10.400,43.080,0.786757
10.410,43.049,0.610250
10.420,43.570,0.610293
10.430,43.933,0.633586
10.440,43.351,0.572398
10.450,42.308,0.293910
10.460,41.578,0.257926
10.470,42.773,0.336840
10.480,43.512,0.410172
10.490,43.686,0.845773
10.500,43.639,0.756366
10.510,42.326,0.650478
10.520,41.582,0.684285
10.530,41.539,0.441557
10.540,323.422,0.231455
10.550,320.136,0.453639
10.560,318.758,0.533546
10.570,318.057,0.515727
10.580,315.267,0.301960
10.590,43.090,0.179247
10.600,43.011,0.469078
10.610,43.030,0.579365
10.620,43.174,0.700671
10.630,43.352,0.710278
10.640,43.260,0.612216
10.650,43.267,0.428207
10.660,316.462,0.323214
10.670,315.636,0.622874
10.680,313.548,0.574248
10.690,309.004,0.528761
10.700,43.493,0.554829
10.710,43.190,0.672382
10.720,42.749,0.514923
